city,country,lat,lon,temp,humidity,cloudiness,wind speed,date
Aklavik,CA,68.22,-135.01,-11.0,61,20,1.5,1554577200
Cidreira,BR,-30.17,-50.22,20.96,94,92,3.62,1554581489
Punta Arenas,CL,-53.16,-70.91,8.42,57,40,23.7,1554580949
Coihaique,CL,-45.58,-72.07,16.43,55,20,4.6,1554577320
Mataura,NZ,-46.19,168.86,3.33,93,0,1.32,1554581405
Santa Cruz,US,36.97,-122.03,17.1,77,90,4.1,1554581226
Jamestown,AU,-33.21,138.6,5.21,81,0,1.17,1554581219
Hami,CN,42.84,93.51,12.21,50,92,1.17,1554581492
Mahon,IE,51.89,-8.4,8.47,81,75,2.6,1554581289
Portland,US,45.52,-122.67,13.3,62,75,3.6,1554581431
Casale Monferrato,IT,45.14,8.45,11.63,81,0,2.6,1554581474
Ushuaia,AR,-54.81,-68.31,4.0,69,90,6.7,1554577200
Rikitea,PF,-23.12,-134.97,25.66,100,64,6.07,1554581217
Sol-Iletsk,RU,51.16,55.0,7.51,70,32,4.77,1554581493
Luderitz,NA,-26.65,15.16,14.61,88,36,4.22,1554581493
Longyearbyen,NO,78.22,15.63,-7.0,62,40,8.7,1554576600
Itarema,BR,-2.92,-39.92,24.11,100,92,2.42,1554581494
Ostersund,SE,63.18,14.64,0.0,91,36,1.5,1554578400
Egvekinot,RU,66.32,-179.17,-12.69,80,48,5.22,1554581494
Tuy Hoa,VN,13.08,109.3,23.86,99,92,0.77,1554581494
Chifeng,CN,42.27,118.96,-3.79,48,12,1.17,1554581495
Bulgan,MN,48.81,103.53,-10.09,74,48,1.17,1554581355
Mahebourg,MU,-20.41,57.7,26.26,74,75,5.1,1554581340
North Bend,US,43.41,-124.22,12.45,87,90,10.3,1554581420
Kapaa,US,22.08,-159.32,24.61,69,1,3.1,1554580813
Leshukonskoye,RU,64.9,45.76,-0.39,93,64,2.07,1554581495
Dingle,PH,11.0,122.67,24.11,95,20,3.62,1554581499
Harper,US,30.3,-99.24,24.02,36,1,2.52,1554581205
Abu Samrah,SY,35.3,37.18,14.26,77,92,0.47,1554581502
Saskylakh,RU,71.97,114.09,-7.84,80,56,8.17,1554581502
Jasidih,IN,24.51,86.65,19.71,97,80,3.32,1554581503
Bukama,CD,-9.2,25.85,22.81,91,12,1.32,1554581503
Ponta do Sol,BR,-20.63,-46.0,22.61,90,8,0.57,1554581503
